date,daily_revenue,jobs_completed,emergency_jobs,channel_google_ads,channel_referrals,collected_amount,payables_due,team_hours,rework_jobs,carrier_A_revenue,carrier_B_revenue,direct_pay_revenue
2024-11-01,13986.85661204493,3,2,0,1,11962.45243949194,4590.877431434144,49.47825802837216,0,2667.778156408935,2665.930595026826,4830.220362995293
2024-11-02,11446.94279531526,6,2,2,1,10146.61342638576,4972.67210925204,46.82034450043926,0,3539.6782769689407,3760.0335778123826,2513.3521431878025
2024-11-03,14590.75415240277,9,0,2,2,14533.467177479826,5081.939460112518,12.264371370865518,0,6282.097746747883,1151.0483490829597,3077.023260688925
2024-11-04,18092.119425632103,7,3,0,0,14717.948367733286,4233.108106954556,48.009366396294624,0,3263.593825192952,2840.979984549724,6661.704648558733
2024-11-05,11063.386501106655,11,0,2,1,9998.427116753499,6756.1242859003105,35.68204211359794,0,4767.8861365439125,3094.6753159182103,7784.944325885145
2024-11-06,11063.452172203277,8,2,0,0,9247.64025392753,4430.178783115127,31.139575456683264,0,3747.537649056896,3027.7664677178013,7350.566215648098
2024-11-07,18316.851262029566,3,2,1,0,18209.428590785847,6039.2167844890055,31.567393957062574,0,5839.607715805576,1016.4975625933394,5464.31189948407
2024-11-08,15069.738916611635,2,3,1,2,12397.281980205302,4178.170796563992,38.64757104367968,0,5735.644578195938,4443.735175716965,2593.7347959666145
2024-11-09,10122.102456260192,3,2,2,0,8914.740104478822,2164.253434038854,44.80059580086683,1,5764.262657859879,1974.3924660342998,4987.296886454263
2024-11-10,14170.240174343859,4,2,0,0,13427.393630704775,8281.088123147916,26.345379778078197,0,1399.024705873971,3402.0445503149613,8124.510263900844
2024-11-11,10146.329228750152,5,1,0,2,9546.791620268164,7248.8174627385215,41.89847836212464,0,4310.086070867492,3009.5571391767967,6236.976760912951
2024-11-12,10137.080985718972,5,2,2,1,8966.711674010454,11721.705171994181,45.76758066193072,0,5138.407900182921,4204.451428572813,4585.044954632255
2024-11-13,12967.849086264136,4,0,0,0,11273.013891962128,3390.0679000043547,58.618057836696316,0,4572.307843883997,5624.986595249047,6257.250465682433
2024-11-14,4346.879021368808,3,3,1,2,3823.177798488652,5477.5987816699235,29.233098307748698,0,4954.894488732743,1451.562618548597,2461.209586768791
2024-11-15,5100.328669947869,8,2,2,0,4349.842096313234,5678.731297860486,36.50387813222196,0,4087.526506428216,2221.3033424730015,3608.6572443035957
2024-11-16,9750.84988303611,2,2,2,0,8201.11403870342,8473.423595705328,42.61662972696479,0,2882.8236899102094,3226.9109926068622,2831.61721795535
2024-11-17,7948.675518662305,1,1,0,1,7126.8455786355225,4732.230264668479,51.474093301916064,0,1454.3539225206223,1673.57601893665,5939.1436366968655
2024-11-18,13256.989330381095,4,2,2,0,11317.581292111961,3072.3953645603638,36.957761188281864,0,3031.645857027287,3938.619129546912,6428.206999440185
2024-11-19,8367.903697915157,5,1,0,2,7175.413264072635,9019.523271152506,51.986413719910516,0,8017.164810457589,4012.0471465884702,4692.347945603266
2024-11-20,6350.785194658834,4,2,0,0,5914.811492610394,5208.37492684693,20.6263768352354,0,3271.523235863992,3671.3388911940447,3254.140646520868
2024-11-21,17862.595075686215,3,0,0,1,17750.194094917122,8196.608774315107,27.46651806878114,0,1060.9146608638844,3283.8981010514367,4960.5018129307455
2024-11-22,11096.894798053858,4,0,0,1,10217.21554060291,7905.4960019805285,43.4864434433422,0,5098.974041093624,4643.650533563737,4026.840218652385
2024-11-23,12270.112818751695,8,1,0,2,10004.999604124261,5925.273815244251,25.89175501912125,0,5283.190013023967,1613.2494219973655,3407.658590612511
2024-11-24,6301.007255146173,2,0,2,1,5136.056383969867,5564.21573741313,28.255294732332832,0,5930.986585228211,3078.321834411064,5677.987370618493
2024-11-25,9822.469101899269,2,3,1,0,9727.040319436426,5021.087984175489,34.72223135754061,0,4706.46775556017,2113.436557523734,3484.0155549626525
2024-11-26,12443.690358839463,2,1,1,1,10694.831195295397,5962.017178075027,47.71438991915824,0,5268.402271700427,4067.8995990782023,1867.300534071815
2024-11-27,7396.025690310788,7,4,2,2,6053.006511107726,8157.750565426577,21.04035158692711,0,6760.325702262986,799.9906025922805,2311.771059273626
2024-11-28,13502.792073382689,6,1,2,1,12419.988559301546,4008.8995473510513,41.70298362162394,0,2881.789761906827,2966.2993612884243,1793.479066368101
2024-11-29,9597.44524032478,7,1,1,1,8875.04319202708,6272.114075522801,50.329639471528054,1,2584.223941864424,3402.2864244839384,5495.023833152409
